College,College Initials,Credential_level,Measure,Totals,Blank
Allegany Community College,ACC,Certificate,employmentRate,0.357,N
Allegany Community College,ACC,AAS Degree,employmentRate,0.353,N
Allegany Community College,ACC,Associate Degree,employmentRate,0.313,N
Baltimore City Community College,BCCC,Non-credit Certificate,employmentRate,0.766,N
Carroll Community College,CCC,Certificate,employmentRate,0.357,N
Carroll Community College,CCC,Non-credit Certificate,employmentRate,0.455,N
Carroll Community College,CCC,AAS Degree,employmentRate,0.333,N
Carroll Community College,CCC,Associate Degree,employmentRate,0.553,N
Carroll Community College,CCC,Not Specified,employmentRate,0.8,N
College of Southern Maryland,CoSM,Certificate,employmentRate,0.5,N
Community College of Baltimore County,CCBC,Certificate,employmentRate,0.588,N
Community College of Baltimore County,CCBC,AAS Degree,employmentRate,0.167,N
Community College of Baltimore County,CCBC,Associate Degree,employmentRate,0.481,N
Frederick Community College,FCC,Certificate,employmentRate,0.566,N
Frederick Community College,FCC,AAS Degree,employmentRate,0.235,N
Frederick Community College,FCC,Associate Degree,employmentRate,0.315,N
Garrett College,GC,Certificate,employmentRate,0.429,N
Garrett College,GC,AAS Degree,employmentRate,0.405,N
Garrett College,GC,Associate Degree,employmentRate,0.667,N
Hagerstown Community College,HagCC,Certificate,employmentRate,0.455,N
Hagerstown Community College,HagCC,AAS Degree,employmentRate,0.436,N
Hagerstown Community College,HagCC,Associate Degree,employmentRate,0.535,N
Hagerstown Community College,HagCC,Not Specified,employmentRate,0.438,N
Harford Community College,HarCC,Certificate,employmentRate,0.511,N
Harford Community College,HarCC,Associate Degree,employmentRate,0.444,N
Harford Community College,HarCC,Not Specified,employmentRate,0.5,N
Howard Community College,HowCC,Certificate,employmentRate,1,N
Howard Community College,HowCC,AAS Degree,employmentRate,0.5,N
Howard Community College,HowCC,Associate Degree,employmentRate,0.667,N
Howard Community College,HowCC,Not Specified,employmentRate,0.4,N
Montgomery College,MC,Certificate,employmentRate,0.319,N
Montgomery College,MC,AAS Degree,employmentRate,0.393,N
Montgomery College,MC,Associate Degree,employmentRate,0.519,N
Montgomery College,MC,Not Specified,employmentRate,0.333,N
Prince George's Community College,PGCC,Non-credit Certificate,employmentRate,0.442,N
Wor-Wic Community College,WWCC,Certificate,employmentRate,0.723,N
Wor-Wic Community College,WWCC,AAS Degree,employmentRate,0.667,N
Wor-Wic Community College,WWCC,Associate Degree,employmentRate,0.568,N
Wor-Wic Community College,WWCC,Not Specified,employmentRate,0.489,N
Allegany Community College,ACC,AAS Degree,retentionRate,0.02,N
Baltimore City Community College,BCCC,Non-credit Certificate,retentionRate,0.228,N
Carroll Community College,CCC,Certificate,retentionRate,0.071,N
Carroll Community College,CCC,Non-credit Certificate,retentionRate,0.409,N
Carroll Community College,CCC,AAS Degree,retentionRate,0.024,N
Carroll Community College,CCC,Associate Degree,retentionRate,0.105,N
Carroll Community College,CCC,Not Specified,retentionRate,0.4,N
College of Southern Maryland,CoSM,Certificate,retentionRate,0.5,N
Community College of Baltimore County,CCBC,Certificate,retentionRate,0.157,N
Community College of Baltimore County,CCBC,AAS Degree,retentionRate,0.167,N
Community College of Baltimore County,CCBC,Associate Degree,retentionRate,0.037,N
Frederick Community College,FCC,Certificate,retentionRate,0.16,N
Frederick Community College,FCC,AAS Degree,retentionRate,0.176,N
Frederick Community College,FCC,Associate Degree,retentionRate,0.082,N
Garrett College,GC,Certificate,retentionRate,0.143,N
Garrett College,GC,AAS Degree,retentionRate,0.297,N
Hagerstown Community College,HagCC,Certificate,retentionRate,0.455,N
Hagerstown Community College,HagCC,AAS Degree,retentionRate,0.41,N
Hagerstown Community College,HagCC,Associate Degree,retentionRate,0.326,N
Hagerstown Community College,HagCC,Not Specified,retentionRate,0.188,N
Harford Community College,HarCC,Certificate,retentionRate,0.087,N
Harford Community College,HarCC,Associate Degree,retentionRate,0.056,N
Howard Community College,HowCC,Certificate,retentionRate,0.571,N
Howard Community College,HowCC,AAS Degree,retentionRate,0.25,N
Howard Community College,HowCC,Associate Degree,retentionRate,0.304,N
Howard Community College,HowCC,Not Specified,retentionRate,0.4,N
Montgomery College,MC,Certificate,retentionRate,0.165,N
Montgomery College,MC,AAS Degree,retentionRate,0.124,N
Montgomery College,MC,Associate Degree,retentionRate,0.259,N
Montgomery College,MC,Not Specified,retentionRate,0.333,N
Prince George's Community College,PGCC,Non-credit Certificate,retentionRate,0.186,N
Wor-Wic Community College,WWCC,Certificate,retentionRate,0.447,N
Wor-Wic Community College,WWCC,AAS Degree,retentionRate,0.667,N
Wor-Wic Community College,WWCC,Associate Degree,retentionRate,0.227,N
Wor-Wic Community College,WWCC,Not Specified,retentionRate,0.234,N
Allegany Community College,ACC,AAS Degree,medianEarning,29709,N
Baltimore City Community College,BCCC,Non-credit Certificate,medianEarning,32925,N
Carroll Community College,CCC,Certificate,medianEarning,25523,N
Carroll Community College,CCC,Non-credit Certificate,medianEarning,33437.5,N
Carroll Community College,CCC,AAS Degree,medianEarning,4717,N
Carroll Community College,CCC,Associate Degree,medianEarning,31288.5,N
Carroll Community College,CCC,Not Specified,medianEarning,34753.5,N
College of Southern Maryland,CoSM,Certificate,medianEarning,21642,N
College of Southern Maryland,CoSM,Associate Degree,medianEarning,10019,N
Community College of Baltimore County,CCBC,Certificate,medianEarning,27530,N
Community College of Baltimore County,CCBC,AAS Degree,medianEarning,29420,N
Community College of Baltimore County,CCBC,Associate Degree,medianEarning,5905,N
Frederick Community College,FCC,Certificate,medianEarning,28473,N
Frederick Community College,FCC,AAS Degree,medianEarning,25046,N
Frederick Community College,FCC,Associate Degree,medianEarning,11662.5,N
Garrett College,GC,Certificate,medianEarning,27950,N
Garrett College,GC,AAS Degree,medianEarning,12830,N
Hagerstown Community College,HagCC,Certificate,medianEarning,15215,N
Hagerstown Community College,HagCC,AAS Degree,medianEarning,21185,N
Hagerstown Community College,HagCC,Associate Degree,medianEarning,26121,N
Harford Community College,HarCC,Certificate,medianEarning,31316,N
Harford Community College,HarCC,Associate Degree,medianEarning,23934.5,N
Howard Community College,HowCC,Certificate,medianEarning,54612,N
