College,Program,Credential_level,Measure,Totals,Blank,Not Available
Allegany Community College,CPAM Certificate >1y,Certificate (more than one year),employmentRate,28.57%,N,
Allegany Community College,CPAM Certificate >1y,Not Specified,employmentRate,42.86%,N,
Allegany Community College,CPAM Degree AAS,Degree,employmentRate,25.00%,N,
Allegany Community College,CPAM Degree AAS,Not Specified,employmentRate,44.44%,N,
Allegany Community College,CPAM Degree AS,Degree,employmentRate,,Y,
Allegany Community College,CPAM Degree AS,Not Specified,employmentRate,41.67%,N,
Baltimore City Community College,CPAM Non-credit Certificate,Certificate (less than one year),employmentRate,76.65%,N,
Baltimore City Community College,CPAM Non-credit Certificate,Not Specified,employmentRate,,Y,
Carroll Community College,CPAM Certificate <1y,Certificate (less than one year),employmentRate,,Y,
Carroll Community College,CPAM Certificate <1y,Didnt Apply for Credential,employmentRate,50.00%,N,
Carroll Community College,CPAM Certificate <1y,Not Specified,employmentRate,50.00%,N,
Carroll Community College,CPAM Certificate >1y,Certificate (more than one year),employmentRate,29.17%,N,
Carroll Community College,CPAM Certificate >1y,Didnt Apply for Credential,employmentRate,,Y,
Carroll Community College,CPAM Degree AAS,Degree,employmentRate,5.56%,N,
Carroll Community College,CPAM Degree AAS,Not Specified,employmentRate,44.44%,N,
Carroll Community College,CPAM Degree AS,Not Specified,employmentRate,,Y,
Carroll Community College,CPAM Non-credit Certificate,Certificate (less than one year),employmentRate,40.00%,N,
Carroll Community College,CPAM Non-credit Certificate,Not Specified,employmentRate,57.14%,N,
Carroll Community College,Non-CPAM Certificate <1y,Not Specified,employmentRate,,Y,
Carroll Community College,Non-CPAM Degree,Not Specified,employmentRate,60.47%,N,
Carroll Community College,,Certificate (less than one year),employmentRate,,Y,
Carroll Community College,,Not Specified,employmentRate,80.00%,N,
College of Southern Maryland,CPAM Certificate <1y,Certificate (less than one year),employmentRate,,Y,
College of Southern Maryland,CPAM Certificate <1y,Not Specified,employmentRate,,Y,
College of Southern Maryland,CPAM Certificate >1y,Certificate (more than one year),employmentRate,50.00%,N,
College of Southern Maryland,CPAM Degree AAS,Not Specified,employmentRate,,Y,
College of Southern Maryland,CPAM Degree AS,Degree,employmentRate,,Y,
College of Southern Maryland,CPAM Non-credit Certificate,Not Specified,employmentRate,,Y,
College of Southern Maryland,Non-CPAM Degree,Not Specified,employmentRate,,Y,
College of Southern Maryland,,Not Specified,employmentRate,,Y,
Community College of Baltimore County,CPAM Certificate <1y,Didnt Apply for Credential,employmentRate,61.11%,N,
Community College of Baltimore County,CPAM Certificate <1y,Not Specified,employmentRate,50.00%,N,
Community College of Baltimore County,CPAM Certificate >1y,Certificate (more than one year),employmentRate,100.00%,N,
Community College of Baltimore County,CPAM Degree AAS,Degree,employmentRate,33.33%,N,
Community College of Baltimore County,CPAM Degree AAS,Not Specified,employmentRate,,Y,
Community College of Baltimore County,CPAM Degree AS,Degree,employmentRate,48.15%,N,
Community College of Baltimore County,CPAM Non-credit Certificate,Not Specified,employmentRate,,Y,
Frederick Community College,CPAM Certificate <1y,Certificate (less than one year),employmentRate,37.78%,N,
Frederick Community College,CPAM Certificate <1y,Not Specified,employmentRate,,Y,
Frederick Community College,CPAM Certificate >1y,Certificate (more than one year),employmentRate,70.97%,N,
Frederick Community College,CPAM Degree AAS,Degree,employmentRate,22.22%,N,
Frederick Community College,CPAM Degree AAS,Not Specified,employmentRate,25.00%,N,
Frederick Community College,CPAM Degree AS,Degree,employmentRate,31.51%,N,
Garrett College,CPAM Certificate <1y,Certificate (less than one year),employmentRate,50.00%,N,
Garrett College,CPAM Certificate <1y,Not Specified,employmentRate,33.33%,N,
Garrett College,CPAM Degree AAS,Degree,employmentRate,27.27%,N,
Garrett College,CPAM Degree AAS,Not Specified,employmentRate,58.33%,N,
Garrett College,CPAM Non-credit Certificate,Certificate (less than one year),employmentRate,,Y,
Garrett College,CPAM Non-credit Certificate,Other,employmentRate,,Y,
Garrett College,Non-CPAM Degree,Degree,employmentRate,,Y,
Garrett College,Non-CPAM Degree,Not Specified,employmentRate,80.00%,N,
Hagerstown Community College,CPAM Certificate <1y,Certificate (less than one year),employmentRate,80.00%,N,
Hagerstown Community College,CPAM Certificate <1y,Not Specified,employmentRate,50.00%,N,
Hagerstown Community College,CPAM Certificate >1y,Certificate (more than one year),employmentRate,,Y,
Hagerstown Community College,CPAM Degree AAS,Degree,employmentRate,45.16%,N,
Hagerstown Community College,CPAM Degree AAS,Not Specified,employmentRate,42.86%,N,
Hagerstown Community College,CPAM Degree AS,Degree,employmentRate,58.62%,N,
Hagerstown Community College,CPAM Degree AS,Other,employmentRate,100.00%,N,
Hagerstown Community College,CPAM Degree AS,Not Specified,employmentRate,33.33%,N,
Hagerstown Community College,Non-CPAM Degree,Degree,employmentRate,,Y,
Hagerstown Community College,Non-CPAM Degree,Not Specified,employmentRate,50.00%,N,
Hagerstown Community College,,Degree,employmentRate,53.85%,N,
Hagerstown Community College,,Not Specified,employmentRate,,Y,
